id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,section_prefixe
2019-1112927,2019-03-13,1,Vente,220000.0,1.0,None,RUE BOSSOUTROT,310,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0286,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,75.0,4.0,S,sols,None,None,676.0,1.074386,49.39357,000AD
2019-1112400,2019-03-06,1,Vente,182700.0,38.0,None,AV ANTOINE DE ST EXUPERY,150,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0613,None,None,1,119.85,None,None,None,,None,None,None,None,1,1,Maison,116.0,6.0,S,sols,None,None,280.0,1.076915,49.393035,000AD
2019-1112270,2019-02-27,1,Vente,162000.0,4.0,None,RUE DES CERISIERS,425,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0235,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,68.0,4.0,S,sols,None,None,323.0,1.078686,49.392321,000AD
2019-1112158,2019-02-14,1,Vente,163000.0,13.0,None,RUE HELENE BOUCHER,1130,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0410,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,71.0,4.0,S,sols,None,None,415.0,1.079921,49.394882,000AD
2019-1111780,2019-01-21,1,Vente,226000.0,17.0,None,RUE CDT GUILBAUD,530,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0111,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,114.0,5.0,S,sols,None,None,341.0,1.081079,49.396195,000AD
2019-1111752,2019-01-21,2,Vente,150.0,15.0,None,RUE CDT GUILBAUD,530,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0778,None,None,None,,None,None,None,,None,None,None,None,0,None,None,,,S,sols,None,None,2.0,1.080994,49.396222,000AD
2019-1111780,2019-01-21,1,Vente,226000.0,15.0,None,RUE CDT GUILBAUD,530,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0778,None,None,None,,None,None,None,,None,None,None,None,0,None,None,,,S,sols,None,None,2.0,1.080994,49.396222,000AD
2019-1111617,2019-01-17,1,Vente,164000.0,9.0,None,RUE DES MARRONNIERS,1635,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0689,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,83.0,5.0,S,sols,None,None,200.0,1.075468,49.392608,000AD
2019-1111487,2019-01-11,1,Vente,190550.0,14.0,None,RUE CLEMENT ADER,510,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0140,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,90.0,5.0,S,sols,None,None,603.0,1.080576,49.39449,000AD
2019-1111534,2019-01-04,1,Vente,105000.0,83.0,None,RUE DES MARRONNIERS,1635,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0259,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,68.0,4.0,S,sols,None,None,357.0,1.078741,49.392896,000AD
2018-1036180,2018-11-26,1,Vente,183000.0,5.0,None,RUE HENRI FARMAN,1160,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0287,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,121.0,7.0,S,sols,None,None,342.0,1.074146,49.393471,000AD
2018-1036297,2018-11-22,1,Vente,130000.0,14.0,None,RUE DE STOCKHOLM,2350,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0051,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,66.0,4.0,S,sols,None,None,494.0,1.082387,49.396234,000AD
2018-1035902,2018-10-30,1,Vente,171000.0,3.0,None,RUE HENRI FARMAN,1160,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0282,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,72.0,5.0,S,sols,None,None,660.0,1.073964,49.393615,000AD
2018-1034938,2018-09-21,1,Vente,200000.0,15.0,None,RUE HUBERT LATHAM,1200,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0538,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,124.0,6.0,S,sols,None,None,531.0,1.076271,49.396486,000AD
2018-1034993,2018-09-19,1,Vente,148500.0,42.0,None,RUE DU MADRILLET,1580,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0270,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,100.0,5.0,S,sols,None,None,771.0,1.07277,49.392753,000AD
2018-1034574,2018-08-27,1,Vente,172500.0,5.0,None,RUE BOSSOUTROT,310,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0284,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,75.0,4.0,S,sols,None,None,598.0,1.074351,49.393951,000AD
2018-1034766,2018-08-24,1,Vente,190000.0,48.0,B,RUE HUBERT LATHAM,1200,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0499,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,85.0,4.0,S,sols,None,None,346.0,1.079432,49.395784,000AD
2018-1034051,2018-08-03,1,Vente,325000.0,38.0,None,RUE ROLAND GARROS,2220,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0771,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,194.0,8.0,S,sols,None,None,656.0,1.079817,49.397073,000AD
2018-1034052,2018-08-03,1,Vente,147000.0,14.0,None,RUE GEO CHAVEZ,1000,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0086,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,62.0,4.0,S,sols,None,None,410.0,1.081132,49.396501,000AD
2018-1034299,2018-07-30,1,Vente,70000.0,8.0,None,RUE GEO CHAVEZ,1000,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0083,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,64.0,2.0,S,sols,None,None,340.0,1.081019,49.396797,000AD
2018-1034251,2018-07-27,1,Vente,228100.0,40.0,None,RUE ROLAND GARROS,2220,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0772,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,168.0,5.0,S,sols,None,None,482.0,1.080126,49.39702,000AD
2018-1033489,2018-07-03,1,Vente,90000.0,12.0,None,RUE GEO CHAVEZ,1000,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0085,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,45.0,3.0,S,sols,None,None,232.0,1.081086,49.396618,000AD
2018-1033144,2018-06-22,1,Vente,219000.0,11.0,B,RUE CAP FERBER,400,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0751,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,71.0,3.0,S,sols,None,None,595.0,1.0755,49.395897,000AD
2018-1032779,2018-05-14,1,Vente,96000.0,27.0,None,RUE JULES VEDRINES,1390,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0305,None,None,1,61.27,25,None,49,,None,None,None,None,3,2,Appartement,61.0,3.0,None,None,None,None,,1.07683,49.393838,000AD
2018-1032779,2018-05-14,1,Vente,96000.0,27.0,None,RUE JULES VEDRINES,1390,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0305,None,None,90,,None,None,None,,None,None,None,None,1,3,Dépendance,,0.0,None,None,None,None,,1.07683,49.393838,000AD
2018-1032143,2018-04-26,1,Vente,72000.0,27.0,None,RUE JULES VEDRINES,1390,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0305,None,None,29,,51,None,6,72.07,None,None,None,None,3,2,Appartement,71.0,4.0,None,None,None,None,,1.07683,49.393838,000AD
2018-1032143,2018-04-26,1,Vente,72000.0,27.0,None,RUE JULES VEDRINES,1390,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0305,None,None,76,,None,None,None,,None,None,None,None,1,3,Dépendance,,0.0,None,None,None,None,,1.07683,49.393838,000AD
2018-1032166,2018-04-23,1,Vente,188000.0,2.0,None,IMP DES NOISETIERS,1777,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0658,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,83.0,5.0,S,sols,None,None,310.0,1.076275,49.392382,000AD
2018-1031986,2018-04-18,1,Vente,126000.0,4.0,None,RUE A SANTOS DUMONT,20,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0201,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,62.0,4.0,S,sols,None,None,390.0,1.079812,49.393402,000AD
2018-1031756,2018-03-30,1,Vente,145000.0,36.0,None,RUE LT VAISSEAU DE CUVERVILLE,1480,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0336,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,66.0,4.0,S,sols,None,None,445.0,1.078926,49.394138,000AD
2018-1031513,2018-03-16,1,Vente,171650.0,24.0,None,RUE CAP FERBER,400,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0426,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,60.0,4.0,S,sols,None,None,420.0,1.077217,49.39537,000AD
2018-1031180,2018-02-27,1,Vente,162000.0,54.0,None,RUE DES MARRONNIERS,1635,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0237,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,80.0,5.0,S,sols,None,None,312.0,1.078588,49.392473,000AD
2018-1030528,2018-01-15,1,Vente,155000.0,6.0,None,RUE NUNGESSER ET COLI,1790,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0537,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,64.0,3.0,S,sols,None,None,564.0,1.076399,49.396627,000AD
2018-1030461,2018-01-03,1,Vente,195000.0,40.0,None,RUE HUBERT LATHAM,1200,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0486,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,110.0,5.0,S,sols,None,None,281.0,1.077969,49.395991,000AD
2017-545476,2017-12-08,1,Vente,148900.0,8.0,None,RUE CAP FERBER,400,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0446,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,60.0,3.0,S,sols,None,None,396.0,1.074812,49.395544,000AD
2017-545422,2017-11-27,1,Vente,183000.0,1.0,None,RUE DES CERISIERS,425,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0225,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,68.0,4.0,S,sols,None,None,393.0,1.079227,49.392517,000AD
2017-545259,2017-11-16,1,Vente,138000.0,33.0,None,RUE HUBERT LATHAM,1200,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0517,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,70.0,3.0,S,sols,None,None,384.0,1.078584,49.39623,000AD
2017-545077,2017-11-10,1,Vente,134000.0,14.0,None,RUE DES CERISIERS,425,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0230,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,80.0,4.0,S,sols,None,None,636.0,1.079045,49.39188,000AD
2017-545086,2017-11-10,1,Vente,90000.0,16.0,None,RUE DU CAP ARRACHARD,390,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0027,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,62.0,3.0,S,sols,None,None,361.0,1.077616,49.396881,000AD
2017-545147,2017-11-10,1,Vente,150500.0,3.0,None,RUE JEAN ASSOLANT,1250,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0298,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,80.0,4.0,S,sols,None,None,467.0,1.075203,49.393641,000AD
2017-545273,2017-11-09,1,Vente,300000.0,26.0,A,RUE CAP FERBER,400,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0419,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,120.0,5.0,S,sols,None,None,776.0,1.07848,49.395246,000AD
2017-545041,2017-11-02,1,Vente,157930.0,4.0,None,RUE CAP FERBER,400,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0704,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,64.0,3.0,S,sols,None,None,304.0,1.074461,49.395622,000AD
2017-544590,2017-10-09,1,Vente,58750.0,12.0,None,RUE CDT GUILBAUD,530,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0126,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,77.0,4.0,S,sols,None,None,420.0,1.080711,49.395785,000AD
2017-544262,2017-09-28,1,Vente,120000.0,25.0,None,RUE CAP FERBER,400,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0481,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,80.0,4.0,S,sols,None,None,340.0,1.077121,49.395753,000AD
2017-544055,2017-09-13,1,Vente,172000.0,12.0,None,RUE HENRI FARMAN,1160,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0624,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,83.0,5.0,S,sols,None,None,276.0,1.074148,49.393106,000AD
2017-544035,2017-09-06,1,Vente,67000.0,,None,RUE JOSEPH LE BRIX,1360,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0774,None,None,None,,None,None,None,,None,None,None,None,0,None,None,,,AB,Terrain à bâtir,None,None,375.0,1.075228,49.394958,000AD
2017-543763,2017-08-21,1,Vente,70000.0,8.0,None,RUE CLAUDE PERCHOT,500,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0318,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,49.0,3.0,S,sols,None,None,502.0,1.07839,49.393668,000AD
2017-543085,2017-07-13,1,Vente,181500.0,19.0,None,AV ANTOINE DE ST EXUPERY,150,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AD0636,None,None,None,,None,None,None,,None,None,None,None,0,1,Maison,83.0,5.0,S,sols,None,None,312.0,1.073796,49.39294,000AD
2022-361212,2022-05-13,1,Vente,198000.0,18.0,None,RUE D HELSINKI,1140,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0268,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,80.0,5.0,S,sols,None,None,201.0,1.088088,49.397046,000AE
2021-1183964,2021-10-27,1,Vente,133000.0,18.0,None,RUE DE LONDRES,1500,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0208,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,80.0,5.0,S,sols,None,None,196.0,1.086528,49.396855,000AE
2021-1183668,2021-09-28,1,Vente,352400.0,13.0,B,RUE DE L OREE DU ROUVRAY,1805,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0670,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,139.0,5.0,S,sols,None,None,628.0,1.084512,49.393604,000AE
2021-1183177,2021-09-24,1,Vente,170000.0,5.0,None,RUE DE BRUXELLES,340,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0067,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,80.0,5.0,S,sols,None,None,209.0,1.084109,49.396372,000AE
2021-1182711,2021-09-06,1,Vente,163000.0,33.0,None,RUE DE MOSCOU,1740,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0325,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,80.0,5.0,S,sols,None,None,323.0,1.086887,49.395881,000AE
2021-1182438,2021-08-25,1,Vente,156000.0,38.0,None,AV D AMSTERDAM,110,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0306,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,80.0,5.0,S,sols,None,None,259.0,1.089088,49.396455,000AE
2021-1181922,2021-07-13,1,Vente,196800.0,21.0,None,RUE DE STOCKHOLM,2350,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0039,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,80.0,5.0,S,sols,None,None,207.0,1.083883,49.395644,000AE
2021-1181172,2021-06-30,1,Vente,160000.0,2.0,None,RUE DE PRAGUE,2110,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0241,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,80.0,5.0,S,sols,None,None,243.0,1.087796,49.397364,000AE
2021-1181258,2021-06-14,1,Vente,130000.0,19.0,None,RUE DE STOCKHOLM,2350,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0037,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,80.0,5.0,S,sols,None,None,270.0,1.083635,49.39559,000AE
2021-1181258,2021-06-14,1,Vente,130000.0,19.0,None,RUE DE STOCKHOLM,2350,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0037,None,None,None,None,None,None,None,None,None,None,None,None,0,3,Dépendance,,0.0,S,sols,None,None,270.0,1.083635,49.39559,000AE
2021-1180451,2021-06-02,1,Vente,117500.0,11.0,None,RUE CLAUDE MONET,495,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0430,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,129.0,5.0,S,sols,None,None,207.0,1.084108,49.393287,000AE
2021-1180451,2021-06-02,1,Vente,117500.0,11.0,None,RUE CLAUDE MONET,495,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0430,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,129.0,5.0,AG,terrains d'agrément,None,None,612.0,1.084108,49.393287,000AE
2021-1180198,2021-04-30,1,Vente,187900.0,9.0,None,RUE DE ROME,2230,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0049,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,84.0,4.0,S,sols,None,None,225.0,1.084004,49.395843,000AE
2021-1179694,2021-04-12,1,Vente,230000.0,50.0,None,RUE DE STOCKHOLM,2350,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0529,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,100.0,5.0,S,sols,None,None,372.0,1.088937,49.395608,000AE
2021-1179382,2021-03-22,1,Vente,180500.0,9.0,None,RUE DE STOCKHOLM,2350,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0076,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,80.0,5.0,S,sols,None,None,256.0,1.083083,49.396292,000AE
2021-1178835,2021-03-10,1,Vente,152000.0,6.0,None,RUE DE VIENNE,2410,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0177,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,80.0,5.0,S,sols,None,None,245.0,1.085976,49.397144,000AE
2021-1178233,2021-02-04,1,Vente,160000.0,7.0,None,RUE DE BRUXELLES,340,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0068,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,80.0,4.0,S,sols,None,None,206.0,1.084022,49.396362,000AE
2020-1066586,2020-12-22,1,Vente,209700.0,9.0,None,RUE DES GIROFLEES,1048,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0579,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,84.0,5.0,S,sols,None,None,695.0,1.088605,49.39308,000AE
2020-1066704,2020-12-21,1,Vente,125000.0,17.0,None,RUE DE LONDRES,1500,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0213,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,80.0,5.0,S,sols,None,None,237.0,1.087003,49.396905,000AE
2020-1066335,2020-11-25,1,Vente,190000.0,4.0,None,RUE DE VIENNE,2410,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0176,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,80.0,5.0,S,sols,None,None,245.0,1.086148,49.397197,000AE
2020-1066039,2020-11-12,1,Vente,168000.0,13.0,None,RUE DE STOCKHOLM,2350,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0056,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,80.0,5.0,S,sols,None,None,270.0,1.083218,49.396108,000AE
2020-1065249,2020-10-29,1,Vente,160000.0,15.0,None,RUE EMILE KAHN,740,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0231,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,80.0,5.0,S,sols,None,None,243.0,1.087382,49.397575,000AE
2020-1065573,2020-10-19,1,Vente,176000.0,2.0,None,RUE D HELSINKI,1140,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0235,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,80.0,5.0,S,sols,None,None,194.0,1.08793,49.397715,000AE
2020-1064859,2020-10-15,1,Vente,168000.0,2.0,None,RUE DE BELGRADE,250,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0143,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,80.0,5.0,S,sols,None,None,199.0,1.084954,49.396837,000AE
2020-1065277,2020-10-14,1,Vente,176000.0,4.0,None,RUE DE MOSCOU,1740,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0260,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,80.0,5.0,S,sols,None,None,247.0,1.088733,49.396438,000AE
2020-1065185,2020-10-08,1,Vente,176700.0,3.0,None,RUE D HELSINKI,1140,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0287,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,80.0,5.0,S,sols,None,None,252.0,1.088394,49.397715,000AE
2020-1064706,2020-10-05,1,Vente,184000.0,2.0,None,RUE DE MOSCOU,1740,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0261,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,80.0,4.0,S,sols,None,None,247.0,1.08884,49.39645,000AE
2020-1064535,2020-09-24,1,Vente,221650.0,72.0,None,RUE DE STOCKHOLM,2350,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0592,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,116.0,4.0,S,sols,None,None,392.0,1.088711,49.394603,000AE
2020-1064239,2020-09-16,1,Vente,150000.0,1.0,None,RUE DE MOSCOU,1740,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0623,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,80.0,5.0,S,sols,None,None,436.0,1.088956,49.396049,000AE
2020-1063543,2020-08-11,1,Vente,172000.0,1.0,None,RUE DE VIENNE,2410,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0180,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,80.0,5.0,S,sols,None,None,240.0,1.086238,49.396825,000AE
2020-1062408,2020-06-15,1,Vente,183700.0,22.0,None,RUE MARCEL PAUL,1592,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0475,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,90.0,4.0,S,sols,None,None,181.0,1.087108,49.393392,000AE
2020-1062578,2020-05-29,1,Vente,120000.0,24.0,None,RUE DE PRAGUE,2110,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0200,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,80.0,5.0,S,sols,None,None,195.0,1.087422,49.396545,000AE
2020-1062223,2020-05-15,1,Vente,176800.0,21.0,None,RUE DE STOCKHOLM,2350,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0039,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,80.0,5.0,S,sols,None,None,207.0,1.083883,49.395644,000AE
2020-1061623,2020-04-03,1,Vente,182400.0,12.0,None,RUE DE VIENNE,2410,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0154,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,80.0,5.0,S,sols,None,None,198.0,1.085744,49.396876,000AE
2020-1060963,2020-03-12,1,Vente,171900.0,28.0,None,RUE D HELSINKI,1140,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0262,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,98.0,5.0,S,sols,None,None,238.0,1.088771,49.39668,000AE
2019-1118588,2019-12-31,1,Vente,179000.0,6.0,None,RUE MARCEL PAUL,1592,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0448,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,99.0,4.0,S,sols,None,None,197.0,1.088276,49.393592,000AE
2019-1118647,2019-12-18,1,Vente,180000.0,3.0,None,RUE DE STOCKHOLM,2350,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0099,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,100.0,4.0,S,sols,None,None,324.0,1.082728,49.396816,000AE
2019-1118070,2019-12-09,1,Vente,138000.0,13.0,None,RUE DE WASHINGTON,2440,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0117,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,80.0,5.0,S,sols,None,None,255.0,1.084747,49.396281,000AE
2019-1117314,2019-11-13,1,Vente,168450.0,4.0,None,RUE DE VIENNE,2410,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0176,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,80.0,5.0,S,sols,None,None,245.0,1.086148,49.397197,000AE
2019-1117245,2019-10-18,1,Vente,197300.0,7.0,None,RUE DE L OREE DU ROUVRAY,1805,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0372,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,102.0,5.0,S,sols,None,None,472.0,1.085811,49.392854,000AE
2019-1117245,2019-10-18,1,Vente,197300.0,5000.0,None,AV ANTOINE DE ST EXUPERY,150,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0601,None,None,None,None,None,None,None,None,None,None,None,None,0,4,Local industriel. commercial ou assimilé,,0.0,S,sols,None,None,4365.0,1.084607,49.392545,000AE
2019-1116957,2019-10-17,1,Vente,120100.0,32.0,None,RUE DE VIENNE,2410,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0129,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,80.0,5.0,S,sols,None,None,199.0,1.085986,49.396033,000AE
2019-1116909,2019-10-11,1,Vente,131000.0,9.0,None,RUE DE MOSCOU,1740,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AE0626,None,None,None,None,None,None,None,None,None,None,None,None,0,1,Maison,80.0,5.0,S,sols,None,None,404.0,1.088432,49.395978,000AE
